Location,Menu_Item,Energy (KCAL),Protein (G),Total lipid(fat) (G),Carbohydrate (G),Fiber (G),Sodium (MG),Cholesterol (MG)
85,Filet Mignon ,268.3333333333333,24.72666666666667,16.189999999999998,5.67375,0.6,313.22222222222223,77.55555555555556
85,Hot House Cucumber Tomato Salad ,164.33333333333334,2.78,11.488181818181818,15.209166666666667,1.0250000000000001,589.8333333333334,1.1818181818181819
10,Chicken Piccata,134.25,9.030000000000001,6.1075,9.887500000000001,0.95,258.0,35.25
10,Grilled Portobello Mushroom Burger ,129.2608695652174,5.487500000000001,5.010416666666667,14.608333333333334,1.8499999999999999,329.9583333333333,17.652173913043477
85,Grilled Chicken Fresh Strawberry Salad,195.2,10.563333333333334,11.983333333333336,10.98333333333333,1.1133333333333335,396.3333333333333,37.0
108,Cakes,405.6666666666667,4.536666666666666,21.30666666666667,52.196666666666665,2.9666666666666663,318.0,64.66666666666667
85,Bavarian French Toast,265.53846153846155,7.999999999999999,4.423076923076923,48.47461538461538,2.1538461538461537,441.46153846153845,31.53846153846154
85,Fish Street Tacos ,212.47826086956522,7.561739130434785,5.800454545454545,32.09090909090908,3.104761904761905,1658.0869565217392,11.55
85,Ice Cream Sandwiches,273.24,4.1911999999999985,9.216400000000002,44.02400000000001,1.212,215.28,25.48
60,Fountain Drinks,166.5,0.0,0.0,41.665,0,458.5,0
10,Filet Mignon ,268.3333333333333,24.72666666666667,16.189999999999998,5.67375,0.6,313.22222222222223,77.55555555555556
125,Iced Cinnamon Sticks,250.0,0.0,0.0,75.0,50.0,0.0,0.0
10,French Fries,357.0,1.422,24.03,31.374000000000002,1.44,281.0,0.0
108,Corned Beef Hash Eggs,136.64,6.354399999999999,8.636399999999998,8.056799999999999,0.6840000000000002,346.8,24.24
60,Large Cheese Pizza,244.0,8.89,8.89,31.85,1.5,444.0,15.0
125,French Fries,357.0,1.422,24.03,31.374000000000002,1.44,281.0,0.0
10,Kobe Sliders,289.0,17.5,23.395,0.0,0.0,54.5,71.0
108,Mediterranean Greek Salad,149.44444444444446,5.716666666666666,7.901111111111111,15.700000000000001,3.1555555555555554,369.6666666666667,7.666666666666667
207,Unicorn Churros,426.3333333333333,2.08,18.763333333333332,62.06,0.0,299.6666666666667,28.333333333333332
85,Braised Bone in Short Rib ,193.25,12.617500000000001,11.603333333333333,9.165000000000001,0.26363636363636367,646.0833333333334,49.72727272727273
10,Clubhouse Nachos ,433.0,6.67,13.33,70.0,3.3,967.0,0
108,Coconut Shrimp Shooters,257.6666666666667,2.8766666666666665,18.413333333333334,20.52333333333333,0.39999999999999997,157.0,68.0
10,Club Sandwich,414.85714285714283,8.95,19.595714285714287,50.645714285714284,1.9428571428571428,757.4285714285714,9.428571428571429
10,Mediterranean Pizza,216.0,6.510000000000001,8.959999999999999,27.71666666666667,2.2333333333333334,431.0,10.0
10,Southwest Wrap,188.83333333333334,13.668333333333335,8.040000000000001,17.455,1.9000000000000001,506.6666666666667,31.6
10,Route Baby Back Ribs ,278.16,11.624800000000002,15.911200000000001,21.336800000000004,1.0318181818181817,515.04,40.04
10,N Y Steak,141.4,11.32,7.359999999999999,9.5525,0.55,6808.2,39.75
10,Pan Seared Pistachio Crusted Salmon,226.5,14.375,5.748333333333332,28.911666666666665,1.1600000000000001,908.5,26.166666666666668
10,Grilled Cilantro Lime Chicken,258.88,5.416799999999999,12.597083333333332,31.099600000000006,1.783333333333333,588.32,16.263157894736842
85,Sliced Turkey Wrap ,182.75,12.8825,6.56,18.564999999999998,1.75,478.75,21.75
108,Sliced Turkey Wrap ,182.75,12.8825,6.56,18.564999999999998,1.75,478.75,21.75
108,Garden Salad,65.0,1.8643999999999996,4.1743999999999994,5.6388,1.328,110.68,8.0
108,Braised Short Ribs,163.55555555555554,12.89,10.023333333333333,4.812222222222222,0.32222222222222224,218.88888888888889,45.0
108,Turkey Croissant Sandwich,278.0,10.586190476190476,15.71952380952381,23.04619047619048,1.0571428571428574,501.8095238095238,57.142857142857146
10,Clubhouse Mixed Green Salad,323.0,4.66,11.876666666666667,48.376666666666665,2.6333333333333333,687.3333333333334,0.0
85,Clubhouse Skins,433.0,6.67,13.33,70.0,3.3,967.0,0
10,Bavarian French Toast,265.53846153846155,7.999999999999999,4.423076923076923,48.47461538461538,2.1538461538461537,441.46153846153845,31.53846153846154
108,Clubhouse Sandwich,433.0,6.67,13.33,70.0,3.3,967.0,0
10,Caesar Salad,205.04,6.111599999999998,16.1356,9.4312,1.1956521739130437,495.76,18.391304347826086
108,Iceberg Wedge Salad,130.22222222222223,6.187777777777779,5.177777777777777,14.546666666666665,1.5111111111111108,251.22222222222223,38.77777777777778
85,Iceberg Wedge Salad,130.22222222222223,6.187777777777779,5.177777777777777,14.546666666666665,1.5111111111111108,251.22222222222223,38.77777777777778
85,Unicorn Churros,426.3333333333333,2.08,18.763333333333332,62.06,0.0,299.6666666666667,28.333333333333332
85,Tropical Mahi Mahi ,94.28,16.977199999999996,1.3319999999999999,1.904347826086957,0.16521739130434784,164.2,66.4
108,Tropical Mahi Mahi ,94.28,16.977199999999996,1.3319999999999999,1.904347826086957,0.16521739130434784,164.2,66.4
60,Cakes,405.6666666666667,4.536666666666666,21.30666666666667,52.196666666666665,2.9666666666666663,318.0,64.66666666666667
10,Pepperoni Pizza,253.48,10.945200000000002,12.402000000000003,24.2384,1.3560000000000003,582.56,27.8
85,Carne Street Tacos ,223.52173913043478,7.360869565217392,7.048571428571428,39.441739130434776,3.11578947368421,1370.0869565217392,8.736842105263158
108,Carne Street Tacos ,223.52173913043478,7.360869565217392,7.048571428571428,39.441739130434776,3.11578947368421,1370.0869565217392,8.736842105263158
10,Calamari Fritti ,105.66666666666667,13.469999999999999,2.476666666666667,6.53,0.24,128.0,202.0
10,Double Cut Pork Chop ,164.44444444444446,19.226666666666667,8.915,0.6577777777777777,0.1,268.8333333333333,60.44444444444444
10,Taco Bar Chicken Beef ,292.0,7.96,14.16,34.51,1.8,496.0,13.0
108,Filet Mignon ,268.3333333333333,24.72666666666667,16.189999999999998,5.67375,0.6,313.22222222222223,77.55555555555556
207,Mozzarella Sticks,316.8333333333333,14.165,15.906666666666666,28.731666666666666,0.7666666666666667,746.1666666666666,29.5
10,Asian Pear Salad,204.6,3.386,10.245000000000001,25.104,3.466666666666667,278.8,0.0
10,Garden Salad,65.0,1.8644,4.1743999999999994,5.6388,1.328,110.68,8.0
